id,appId,title,url,ratings,rated_1,rated_2,rated_3,rated_4,rated_5
409838725,com.path36.SpliceFree,Splice - Video Editor & Maker,https://apps.apple.com/us/app/splice-video-editor-maker/id409838725?uo=4,393813,20814,6069,11786,31601,323543
1470373330,com.bigwinepot.nwdn.international,Remini - AI Photo Enhancer,https://apps.apple.com/us/app/remini-ai-photo-enhancer/id1470373330?uo=4,253435,13248,4200,7449,15333,213205
1099771240,com.vigorapps.30DayFitness,30 Day Fitness - Home Workout,https://apps.apple.com/us/app/30-day-fitness-home-workout/id1099771240?uo=4,58423,7060,960,2419,6056,41928
1459833443,com.alightcreative.motion,Alight Motion,https://apps.apple.com/us/app/alight-motion/id1459833443?uo=4,43784,3432,1265,2490,5179,31418
1447478883,com.bendingspoonsapps.SleepHelp,Sleep,https://apps.apple.com/us/app/sleep/id1447478883?uo=4,9321,1158,233,371,764,6795
436577167,com.cinegenix.filmic.pro,Filmic Pro－Video Camera,https://apps.apple.com/us/app/filmic-pro-video-camera/id436577167?uo=4,8482,2513,311,337,589,4732
1148951074,com.flyingnayeem.yoga,Yoga: Poses and Moves at Home,https://apps.apple.com/us/app/yoga-poses-and-moves-at-home/id1148951074?uo=4,1223,119,34,69,131,870
1461690085,com.focoslive,Focos Live,https://apps.apple.com/us/app/focos-live/id1461690085?uo=4,5458,332,103,160,395,4468
1478041592,com.filmicpro.doubletake,DoubleTake - Multicam video,https://apps.apple.com/us/app/doubletake-multicam-video/id1478041592?uo=4,477,118,34,33,57,235
6443816015,com.cinegenix.filmic.legacy,Filmic Legacy,https://apps.apple.com/us/app/filmic-legacy/id6443816015?uo=4,442,385,12,11,8,26
1274938524,com.focos,Focos,https://apps.apple.com/us/app/focos/id1274938524?uo=4,50918,1379,649,1400,3475,44015
1482338564,com.filmicpro.firstlight,Filmic Firstlight - Photo App,https://apps.apple.com/us/app/filmic-firstlight-photo-app/id1482338564?uo=4,815,58,22,33,77,625
